id,name,item_type,category,parent_company,ultimate_parent,ownership_type,ticker_or_jurisdiction,is_surprising_or_subterfuge,subterfuge_details,top_10_percent_enrichment_pct,ethical_swap_recommendation
annies-homegrown,Annie's Homegrown,brand,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.,89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-organic-shells-real-aged-cheddar-macaroni-cheese,Annie's Organic Shells & Real Aged Cheddar Macaroni & Cheese,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-organic-bunny-graham-friends-cookies,Annie's Organic Bunny Graham Friends Cookies,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-organic-fruit-snacks-variety-pack,Annie's Organic Fruit Snacks Variety Pack,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-homegrown-cheddar-bunnies-baked-snack-crackers,Annie's Homegrown Cheddar Bunnies Baked Snack Crackers,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-organic-cinnamon-rolls-with-icing,Annie's Organic Cinnamon Rolls with Icing,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
annies-organic-goddess-salad-dressing,Annie's Organic Goddess Salad Dressing,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Annie's Homegrown, owned by General Mills. Founded in 1989 on organic farmer solidarity; acquired by General Mills in 2014 for $820M. Retains bunny mascot and rustic packaging to maintain independent persona.",89.0,Goodles / Local Co-op Bulk Mac & Cheese / Pastured Organic Farms
cascadian-farm,Cascadian Farm,brand,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
cascadian-farm-organic-purely-os-cereal,Cascadian Farm Organic Purely O's Cereal,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Cascadian Farm, owned by General Mills. Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
cascadian-farm-organic-frozen-blueberries,Cascadian Farm Organic Frozen Blueberries,product,Food & Grocery Staples,General Mills,"General Mills, Inc.",Public Conglomerate,NYSE: GIS,True,"Product of Cascadian Farm, owned by General Mills. Pioneering organic farm founded in Skagit Valley, WA; acquired by General Mills in 1999. Now predominantly industrial corporate organic supply chain.",89.0,Local Organic CSAs / Stahlbush Island Farms / Regional Co-op Frozen Berries
